	Scientific Name	Common Name	Region	Family	First Listed	Taxonomic Group	Status	Type
235	Ammodramus henslowii	Henslow's sparrow	AL, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, OH, PA, SC, SD, TN, TX, VA, VT, WI, WV	emberizidae		Birds	Not Listed	V
236	Ammodramus henslowii houstonensis	Texas Henslow's sparrow	TX	emberizidae		Birds	Not Listed	V
237	Ammodramus maritimus juncicola	Wakulla seaside sparrow	FL	emberizidae		Birds	Not Listed	V
238	Ammodramus maritimus macgillivraii	MacGillivray's Seaside sparrow	FL, GA, SC	emberizidae		Birds	Not Listed	V
239	Ammodramus maritimus mirabilis	Cape Sable seaside sparrow	FL	emberizidae	1967.0	Birds	Endangered	V
240	Ammodramus maritimus nigrescens	Dusky seaside sparrow		emberizidae	1967.0	Birds	Extinction	V
241	Ammodramus maritimus pelonotus	Smyrna seaside sparrow	FL	emberizidae		Birds	Not Listed	V
242	Ammodramus savannarum	Grasshopper Sparrow		emberizidae		Birds	Not Listed	V
243	Ammodramus savannarum floridanus	Florida grasshopper sparrow	FL	emberizidae	1986.0	Birds	Endangered	V
244	Ammodramus savannarum ssp. perpallidus	Grasshopper sparrow	CA	emberizidae		Birds	Not Listed	V
245	Ammonitella yatesii	Yates' tight coin	CA	ammonitellidae		Snails	Not Listed	I
246	Ammopelmatus kelsoensis	Kelso jerusalem cricket	CA	stenopelmatidae		Insects	Not Listed	I
247	Ammopelmatus muwu	Point Conception jerusalem cricket	CA	stenopelmatidae		Insects	Not Listed	I
248	Ammospermophilus nelsoni	Nelson's antelope ground squirrel	CA	sciuridae		Mammals	Not Listed	V
249	Ammospiza caudacuta	Saltmarsh Sparrow	SC	passerellidae		Birds	Not Listed	V
250	Amnicola sp	Washington duskysnail		hydrobiidae		Snails	Not Listed	I
251	Amoreuxia gonzalezii	Saiya	TX	cochlospermaceae		Flowering Plants	Under Review in the Candidate or Petition Process	P
252	Amoreuxia wrightii	Wright's yellowshow	TX	cochlospermaceae		Flowering Plants	Not Listed	P
253	Amorpha canescens		MO	fabaceae		Flowering Plants	Not Listed	P
254	Amorpha crenulata	Crenulate lead-plant	FL	fabaceae	1985.0	Flowering Plants	Endangered	P
255	Amorpha georgiana confusa	Carolina lead-plant	NC	fabaceae		Flowering Plants	Under Review in the Candidate or Petition Process	P
256	Amorpha georgiana georgiana	Georgia lead-plant	GA, NC, SC	fabaceae		Flowering Plants	Under Review in the Candidate or Petition Process	P
257	Amorpha ouachitensis	 false indigo	AR, OK	fabaceae		Flowering Plants	Not Listed	P
258	Amorpha roemeriana	Texas amorpha	TX	fabaceae		Flowering Plants	Not Listed	P
259	Amphianthus pusillus	Little amphianthus	AL, GA, SC	scrophulariaceae	1988.0	Flowering Plants	Threatened	P
260	Amphigyra alabamensis	Shoal sprite	AL	planorbidae		Snails	Not Listed	I
261	Amphinemura mockfordi	Tennessee forestfly	AL, TN	nemouridae		Insects	Under Review in the Candidate or Petition Process	I
262	Amphisbaena bakeri	Baker's worm lizard	PR, VI	amphisbaenidae		Reptiles	Not Listed	V
263	Amphispiza belli	Bell's Sparrow		emberizidae		Birds	Not Listed	V
264	Amphispiza belli belli	Bell's sage sparrow	CA	emberizidae		Birds	Not Listed	V
265	Amphispiza belli clementeae	San Clemente sage sparrow	CA	emberizidae	1977.0	Birds	Threatened	V
266	Amphiuma pholeter	One-toed Amphiuma	AL, FL, GA, MS	amphiumidae		Amphibians	Not Listed	V
267	Amsinckia carinata	Malheur Valley fiddleneck	OR	boraginaceae		Flowering Plants	Not Listed	P
268	Amsinckia grandiflora	Large-flowered fiddleneck	CA	boraginaceae	1985.0	Flowering Plants	Endangered	P
269	Amsinckia vernicosa	Green fiddleneck	CA	boraginaceae		Flowering Plants	Not Listed	P
270	Amsinckia vernicosa furcata	Forked fiddleneck	CA	boraginaceae		Flowering Plants	Not Listed	P
271	Amsonia fugatei		NM	apocynaceae		Flowering Plants	Not Listed	P
